"","geneID","E_Oh43xB73_M_T2_1_B","E_Oh43xB73_M_T2_2_B","E_Oh43xB73_M_T2_3_B","E_Oh43xB73_M_T2_4_B","E_Oh43xB73_M_T2_5_B","E_B73_M_T2_1_B","E_B73_M_T2_2_B","E_B73_M_T2_3_B","E_B73_M_T2_4_B","E_B73_M_T2_5_B","E_Oh43_M_T2_1_O","E_Oh43xB73_M_T2_1_O","E_Oh43xB73_M_T2_2_O","E_Oh43xB73_M_T2_3_O","E_Oh43xB73_M_T2_4_O","E_Oh43xB73_M_T2_5_O","E_Oh43_M_T2_2_O","E_Oh43_M_T2_3_O","E_Oh43_M_T2_4_O","E_Oh43_M_T2_5_O"
"50","Zm00001eb001700",6.34864230622198,6.92378006269172,6.72751830828824,6.68373622246369,7.31068325429399,6.88697754446711,7.372855921093,6.59311027314104,7.06906710577143,6.93813547847102,6.57050603642951,6.0163175805147,6.49465862842375,6.51877232870889,5.9819720812377,6.4655849682882,6.23006677208866,6.23372620965084,6.12757187049742,5.77261759473765
"51","Zm00001eb001710",5.22263745992464,5.52820382156104,5.84959838657583,4.71417064385027,5.68213721169281,5.20733986991382,4.86031432212206,5.32253737121374,5.56455923653707,5.38324873366363,4.22881468672071,5.05000070677099,4.70175486266369,5.48482499678555,3.5277961880519,4.28338163706746,2.57870304564499,4.53434379829279,2.84089462279311,3.73627574767393
"52","Zm00001eb001720",7.21370677834012,6.7104439981364,7.84469262788398,7.46585389983612,6.9221952442479,6.56010198543837,7.20871284143083,7.06255100443989,7.39776286810231,7.13861809316768,6.8492662721605,5.76909988014368,6.145854827545,6.76493291597829,6.12234473760225,6.19765176304157,5.67719290904436,5.85901726991897,6.01081962423542,6.19302826611534
"53","Zm00001eb001760",5.48198546176115,4.26550756020037,3.62676835720359,4.72267430777905,3.80565540504395,3.86098665525076,4.06651596224342,4.58038507190326,5.18487499191841,4.81755964006237,5.13459934510306,4.1569159106875,4.03037761012506,4.2624325754491,5.11275868877305,3.85596041333278,5.50635220142031,5.6080008400181,5.33164178189661,6.01030915245698
"54","Zm00001eb001770",7.89921407252127,7.34860830707475,7.35801111120762,7.86520264442143,7.7003344220825,8.73181438299001,7.89867548692714,7.60441591469522,7.52742844660502,7.98404929489859,7.59804849638643,7.51547292756558,7.15200705452659,7.43235757689142,6.97669713919703,7.42004418437802,7.08028065186649,7.07984154431745,6.95158042086074,7.05525655851095
"55","Zm00001eb001780",4.99516846188534,5.02168159714875,4.16609339766078,5.97423805911342,4.352601123464,9.81388073773442,5.73587421723557,4.73331866633396,5.22402751077921,5.78284088504384,5.30157102915603,4.38518489836062,5.00341056252479,2.96697669192293,5.57044052546039,5.37301884955213,5.31252893228063,5.76846551221134,4.9715983144377,5.58917145364172
"56","Zm00001eb001810",5.77362368712882,6.68870968382408,6.47780547118254,6.4019456332791,5.90378057216623,6.12614775404854,5.823920132904,6.73670421996552,6.9645601450246,6.61689262673648,6.44764928864397,6.06105589527998,6.75930588522585,6.42640831056023,6.91184599484706,6.56022184242628,6.97102046842375,7.070396698533,6.6868172011102,7.1411566319166
"57","Zm00001eb001840",5.53077816199725,5.74641381636439,5.53683999736455,5.04994334914904,4.92441593745273,4.686811622163,4.37750711528666,4.85364178878186,3.42192959369192,4.41915460959374,4.90481226359549,4.45389764844463,4.40477312490656,4.03110702934265,4.01322301522214,5.30176016638231,3.66985093370319,2.77429459101354,3.53750247934317,3.67615475523636
"58","Zm00001eb001860",8.25268127121953,7.25484911804238,7.78786679264361,8.11494200527523,7.72446487491498,7.98886733795991,8.34635619176891,8.09426203303356,7.86081641239566,7.87609300491371,7.7872793852648,8.01915473981823,7.64617751476881,7.35929411470169,7.89236862034775,7.93167007315744,8.292351050343,8.18751303187349,7.5883931457272,7.68952197897419
"59","Zm00001eb001870",5.08411141784406,4.55000935425805,4.17856564875295,4.59944857304278,3.92432013748637,4.06473709163322,3.49934670767645,4.62691615168939,4.1596764442196,2.96486429061876,4.84115362637318,3.98182920412941,4.83007895963923,3.8998624960644,4.09339336390612,3.24590693164879,3.48140584429008,4.42001112281379,4.42585712351426,4.14393371658717
"60","Zm00001eb001890",4.71030355045871,5.22326605495028,4.55024870235915,4.5219153920752,5.52756638020758,5.19583032083431,4.91951551373095,5.12328438332742,5.79491988206621,4.5311684981424,4.19526212700969,4.1569159106875,3.91934629773632,4.2624325754491,3.27625742105593,5.79239528455531,3.18442410653295,3.65298829479141,4.21173231816142,4.46141590644334
"61","Zm00001eb001900",7.72439680619361,8.01876033136257,7.66462298959706,7.95692368388201,8.21088822929815,7.94559524381191,7.9242241793152,8.15076385537657,7.81105141394276,8.37421313490193,7.82067015344925,7.99629968693774,7.65486847503285,7.95462829949529,7.20135261204204,8.00079443381226,6.83321821912334,7.36119489597619,7.1752064421363,7.50742830420018
"62","Zm00001eb001910",6.07571009897583,6.30301456456752,5.66528023090452,6.19065798934143,10.6018917942996,5.92059282612981,5.51790734266317,6.94677185185384,6.31439439122766,6.18287832080639,5.1521934051178,4.64234273785774,6.17030787126953,5.98327850425203,5.18772074645427,5.4737128491716,5.82992814918915,5.88079421231422,5.74446486011001,4.94174486597391
"63","Zm00001eb001980",5.46420954491549,5.45860556399689,5.38307716652,4.89637512720011,4.36228820620635,4.37516293245359,4.8663187595183,4.82271821457353,4.54759664702568,4.9829130621578,4.50011670853811,4.86052290790727,5.29785792099005,4.55193919264409,4.43852884995481,5.86834413778861,4.99765559492722,4.58828260540359,5.10185470038904,5.01638366686666
"64","Zm00001eb002000",5.23416571427843,5.00811078789063,5.13021643136369,5.74544930875578,4.72620269196277,5.64363683057,5.22220032382798,5.86184668304512,4.27907235759649,9.94855346590887,5.22049941850871,5.79581721851946,5.20622744552448,5.6160695300638,4.86121992177709,5.9168426554798,4.35892183776508,4.95964963302546,5.56034245570128,5.4702940577898
"65","Zm00001eb002010",5.15180668178197,3.94194199034818,4.44159825061128,4.4281099982246,4.7872404077784,5.45397434176636,5.76472948589711,4.36018461030292,4.34199963400269,5.03702258435505,6.05733421877636,5.21745745262255,4.76734320429127,6.13690169336525,5.67835586462728,4.97525934170512,4.82332541436491,5.48543419781184,5.27753437655716,5.75819052410237
"66","Zm00001eb002090",5.17555434166712,5.38298634839566,5.49049666275764,5.58792011513199,4.08724341859783,5.24171158219063,5.760236380577,5.36967667139288,5.38034465914125,5.42373917850465,4.92542254327078,4.58222174542017,6.09566907037678,5.43828241084852,5.75430471786058,3.24590693164879,4.56293572978668,4.93903935335017,5.12246498006433,4.77977738631051
"67","Zm00001eb002100",5.39626587440066,6.81785505376549,6.50369669042949,6.11843618317053,6.22049524235061,5.19687616929275,5.1488850856591,4.93625680176832,5.21644747906799,4.94372388109928,5.83571974032255,6.77582574333199,7.4994917821597,6.35303512423001,7.35561521266922,6.78588197759664,6.81336430431471,6.86722219274069,6.65887066060728,7.05525655851095
"68","Zm00001eb002170",5.58105371467966,5.87399339235398,4.61431886146982,5.12428338504429,6.0624659957744,5.33452416756645,4.51370957313407,5.09960812366619,5.38436136703602,5.4055342112294,4.32503000198002,5.17738001324721,4.56089232682384,4.99939816961531,4.49864984239238,4.55256826988284,5.21501242636637,4.58828260540359,5.25903803293977,2.76542209333344
"69","Zm00001eb002180",7.13845625515128,7.52145312260977,7.06141468594346,7.8364057553161,7.60917804129438,6.69385966831958,6.97715587796462,8.04392019280806,7.3594213777989,6.85802490458764,7.58191079970176,8.01915473981823,7.84154414613268,7.84293542797956,8.06135953626641,7.66686440247145,7.64198087754981,7.74639427540778,7.73613037684449,7.65878430409732
"70","Zm00001eb002200",9.97878144707288,4.7204404826456,4.3214501085867,3.36734254843881,5.49956220596426,4.39884268863868,4.41275812552355,5.04826377270823,5.27408630696143,4.59263767674309,2.309433146929,3.8856138888701,0.860452608682747,2.31489999534324,5.2237900011618,2.6984191363463,3.26459445521693,3.49252362259816,2.23084114110912,3.54783065826082
